0.002,0.5142,0.088,0.9529,0.3099,0.5275,0.3371,0.9949
0.002,0.5137,0.088,0.9524,0.3099,0.5269,0.3371,0.9943
0.002,0.5105,0.088,0.9493,0.3099,0.5238,0.3371,0.9912
0.002,0.5046,0.088,0.9434,0.3099,0.5179,0.3371,0.9853
0.002,0.496,0.088,0.9347,0.3099,0.5092,0.3371,0.9766
0.002,0.4845,0.088,0.9232,0.3099,0.4978,0.3371,0.9652
0.002,0.4703,0.088,0.909,0.3099,0.4835,0.3371,0.9509
0.002,0.4578,0.088,0.8965,0.3099,0.471,0.3371,0.9384
0.002,0.4387,0.088,0.8774,0.3099,0.4519,0.3371,0.9193
0.002,0.4168,0.088,0.8555,0.3099,0.4301,0.3371,0.8975
0.002,0.3921,0.088,0.8309,0.3099,0.4054,0.3371,0.8728
0.002,0.3647,0.088,0.8035,0.3099,0.378,0.3371,0.8454
0.002,0.3345,0.088,0.7732,0.3099,0.3478,0.3371,0.8152
0.002,0.31,0.088,0.7488,0.3099,0.3233,0.3371,0.7907
0.002,0.2749,0.088,0.7137,0.3099,0.2882,0.3371,0.7556
0.002,0.2371,0.088,0.6758,0.3099,0.2504,0.3371,0.7178
0.002,0.1965,0.088,0.6352,0.3099,0.2098,0.3371,0.6771
0.002,0.1531,0.088,0.5918,0.3099,0.1663,0.3371,0.6337
0.002,0.1187,0.088,0.5456,0.3099,0.1202,0.3371,0.5876
0.002,0.0957,0.088,0.5092,0.3099,0.0964,0.3371,0.5511
0.002,0.0969,0.088,0.4449,0.3099,0.0976,0.3371,0.4869
0.002,0.0978,0.088,0.4043,0.3099,0.0981,0.3371,0.4462
0.002,0.0984,0.088,0.3477,0.3099,0.0987,0.3371,0.3896
0.002,0.0989,0.088,0.2883,0.3099,0.099,0.3371,0.3303
0.0,0.0991,0.0958,0.2692,0.3099,0.0992,0.3371,0.2839
-0.004,0.0994,0.1115,0.2595,0.3082,0.0995,0.3432,0.2867
-0.008,0.0995,0.1272,0.2469,0.3064,0.0996,0.3494,0.288
-0.0111,0.0996,0.1429,0.2316,0.3046,0.0997,0.3559,0.288
-0.0151,0.0997,0.1514,0.2227,0.305,0.0998,0.3612,0.2878
-0.0191,0.0998,0.1531,0.2209,0.3093,0.0998,0.3697,0.2877
-0.0231,0.0999,0.1534,0.2182,0.3126,0.0999,0.3791,0.2865
-0.0271,0.0999,0.1524,0.2143,0.315,0.0999,0.3892,0.2842
-0.0312,0.0999,0.1503,0.2088,0.3171,0.0999,0.3999,0.281
-0.0352,0.0999,0.1476,0.2014,0.3193,0.0999,0.4112,0.2769
-0.0382,0.1,0.1451,0.1943,0.321,0.1,0.4201,0.2732
-0.0422,0.1,0.1415,0.1828,0.3233,0.1,0.4324,0.2673
-0.0475,0.1,0.1387,0.1705,0.3258,0.1,0.4453,0.2603
-0.0539,0.1,0.1371,0.1577,0.3286,0.1,0.4589,0.2517
-0.0584,0.1,0.1359,0.1463,0.3306,0.1,0.4693,0.2441
-0.0644,0.1,0.1344,0.1288,0.3331,0.1,0.4836,0.2319
-0.0704,0.1,0.1329,0.1084,0.3356,0.1,0.4979,0.2171
-0.0763,0.1,0.1331,0.1,0.3382,0.1,0.5122,0.1995
-0.0808,0.1,0.1336,0.1,0.34,0.1,0.523,0.1845
-0.0868,0.1,0.1343,0.1,0.3425,0.1,0.5373,0.1621
-0.0928,0.1,0.1351,0.1,0.345,0.1,0.5516,0.1369
-0.0987,0.1,0.1358,0.1,0.3475,0.1,0.566,0.1089
-0.1047,0.1,0.1365,0.1,0.35,0.1,0.5796,0.1
-0.1107,0.1,0.1372,0.1,0.3525,0.1,0.593,0.1
-0.1151,0.1,0.1378,0.1,0.3544,0.1,0.603,0.1
-0.1211,0.1,0.1385,0.1,0.3569,0.1,0.6164,0.1
-0.127,0.1,0.1393,0.1,0.3594,0.1,0.6297,0.1
-0.1329,0.1,0.14,0.1,0.3619,0.1,0.643,0.1
-0.1389,0.1,0.1407,0.1,0.3644,0.1,0.6562,0.1
