{'ugcid': '933782009_1622962622_897', 'prd_type': '210', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 07:05:47', 'total_inference_time': '12.30', 'success': 0, 'meaningless_inference_time': '1.59', 'smoking_inference_time': '8.19', 'splice_inference_time': '2.30'}
{'ugcid': '408802942_1622962830_2036', 'prd_type': '202', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 07:05:27', 'total_inference_time': '17.79', 'success': 0, 'meaningless_inference_time': '2.83', 'smoking_inference_time': '11.92', 'splice_inference_time': '2.69'}
{'ugcid': '482074347_1622964030_2309', 'prd_type': '202', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 07:26:02', 'total_inference_time': '19.17', 'success': 0, 'meaningless_inference_time': '2.69', 'smoking_inference_time': '13.22', 'splice_inference_time': '3.07'}
{'ugcid': '460265432_1622966142_2811', 'prd_type': '202', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 08:06:11', 'total_inference_time': '25.72', 'success': 0, 'meaningless_inference_time': '3.62', 'smoking_inference_time': '17.71', 'splice_inference_time': '4.26'}
{'ugcid': '325006726_1622967025_10', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 08:15:13', 'total_inference_time': '13.37', 'success': 0, 'meaningless_inference_time': '0.69', 'smoking_inference_time': '10.45', 'splice_inference_time': '2.07'}
{'ugcid': '1141472299_1622966780_343', 'prd_type': '210', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 08:15:32', 'total_inference_time': '21.32', 'success': 0, 'meaningless_inference_time': '3.39', 'smoking_inference_time': '13.00', 'splice_inference_time': '4.70'}
{'ugcid': '1141472266_1622968782_541', 'prd_type': '210', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 08:47:55', 'total_inference_time': '25.67', 'success': 0, 'meaningless_inference_time': '2.18', 'smoking_inference_time': '17.76', 'splice_inference_time': '5.43'}
{'ugcid': '922013698_1622966921_2287', 'prd_type': '202', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 08:54:25', 'total_inference_time': '44.37', 'success': 0, 'meaningless_inference_time': '7.76', 'smoking_inference_time': '29.79', 'splice_inference_time': '6.61'}
{'ugcid': '598052750_1622970174_482', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 09:15:54', 'total_inference_time': '28.94', 'success': 0, 'meaningless_inference_time': '2.60', 'smoking_inference_time': '21.78', 'splice_inference_time': '4.43'}
{'ugcid': '1141472324_1622972434_765', 'prd_type': '210', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 09:46:14', 'total_inference_time': '8.19', 'success': 0, 'meaningless_inference_time': '0.66', 'smoking_inference_time': '5.86', 'splice_inference_time': '1.49'}
{'ugcid': '1141472266_1622972194_158', 'prd_type': '210', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 09:46:43', 'total_inference_time': '37.13', 'success': 0, 'meaningless_inference_time': '6.71', 'smoking_inference_time': '23.33', 'splice_inference_time': '6.86'}
{'ugcid': '1141472914_1622971973_358', 'prd_type': '210', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 09:46:53', 'total_inference_time': '27.63', 'success': 0, 'meaningless_inference_time': '0.78', 'smoking_inference_time': '6.14', 'splice_inference_time': '1.55'}
{'ugcid': '62435752_1622972006_880', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 09:47:40', 'total_inference_time': '45.80', 'success': 0, 'meaningless_inference_time': '3.80', 'smoking_inference_time': '32.35', 'splice_inference_time': '9.56'}
{'ugcid': '821350132_1622972900_157', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 09:57:20', 'total_inference_time': '56.41', 'success': 0, 'meaningless_inference_time': '8.80', 'smoking_inference_time': '32.63', 'splice_inference_time': '14.91'}
{'ugcid': '313981922_1622974704_240', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 10:24:43', 'total_inference_time': '15.85', 'success': 0, 'meaningless_inference_time': '0.89', 'smoking_inference_time': '12.35', 'splice_inference_time': '2.43'}
{'ugcid': '468638631_1622979392_137', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 11:45:30', 'total_inference_time': '27.23', 'success': 0, 'meaningless_inference_time': '1.46', 'smoking_inference_time': '21.01', 'splice_inference_time': '4.60'}
{'ugcid': '385544474_1622981087_197', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 12:16:04', 'total_inference_time': '32.46', 'success': 0, 'meaningless_inference_time': '3.51', 'smoking_inference_time': '23.07', 'splice_inference_time': '5.63'}
{'ugcid': '609147170_1622981575_496', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 12:25:16', 'total_inference_time': '19.08', 'success': 0, 'meaningless_inference_time': '1.68', 'smoking_inference_time': '13.01', 'splice_inference_time': '4.18'}
{'ugcid': '456076651_1622982223_799', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 12:35:21', 'total_inference_time': '35.85', 'success': 0, 'meaningless_inference_time': '2.49', 'smoking_inference_time': '26.61', 'splice_inference_time': '6.49'}
{'ugcid': '632525063_1622982219_833', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 12:36:11', 'total_inference_time': '40.09', 'success': 0, 'meaningless_inference_time': '2.20', 'smoking_inference_time': '31.72', 'splice_inference_time': '6.06'}
{'ugcid': '320880559_1622983180_68', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 12:45:12', 'total_inference_time': '14.89', 'success': 0, 'meaningless_inference_time': '1.47', 'smoking_inference_time': '10.51', 'splice_inference_time': '2.70'}
{'ugcid': '135716649_1622982934_769', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 12:44:47', 'total_inference_time': '23.46', 'success': 0, 'meaningless_inference_time': '1.60', 'smoking_inference_time': '17.57', 'splice_inference_time': '4.13'}
{'ugcid': '741906355_1622983145_867', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 12:45:32', 'total_inference_time': '23.23', 'success': 0, 'meaningless_inference_time': '2.50', 'smoking_inference_time': '16.57', 'splice_inference_time': '4.01'}
{'ugcid': '53314521_1622983785_2753', 'prd_type': '202', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 12:56:23', 'total_inference_time': '48.97', 'success': 0, 'meaningless_inference_time': '12.10', 'smoking_inference_time': '28.70', 'splice_inference_time': '8.00'}
{'ugcid': '462680449_1622985053_2382', 'prd_type': '202', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 13:17:05', 'total_inference_time': '83.98', 'success': 0, 'meaningless_inference_time': '26.34', 'smoking_inference_time': '46.85', 'splice_inference_time': '10.58'}
{'ugcid': '82713651_1622983897_172', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 13:37:44', 'total_inference_time': '26.07', 'success': 0, 'meaningless_inference_time': '1.39', 'smoking_inference_time': '20.23', 'splice_inference_time': '4.30'}
{'ugcid': '253310206_1622987503_951', 'prd_type': '201', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 14:06:03', 'total_inference_time': '13.30', 'success': 0, 'meaningless_inference_time': '1.51', 'smoking_inference_time': '8.40', 'splice_inference_time': '3.22'}
{'ugcid': '1139174365_1622989568_2501', 'prd_type': '202', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 14:34:59', 'total_inference_time': '22.94', 'success': 0, 'meaningless_inference_time': '2.20', 'smoking_inference_time': '17.51', 'splice_inference_time': '3.08'}
{'ugcid': '623232212_1622987161_2378', 'prd_type': '202', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 15:00:42', 'total_inference_time': '252.96', 'success': 0, 'meaningless_inference_time': '132.79', 'smoking_inference_time': '25.88', 'splice_inference_time': '6.51'}
{'ugcid': '1141472304_1622992047_720', 'prd_type': '210', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 15:14:27', 'total_inference_time': '10.71', 'success': 0, 'meaningless_inference_time': '0.71', 'smoking_inference_time': '7.63', 'splice_inference_time': '2.19'}
{'ugcid': '659056827_1622993837_1963', 'prd_type': '203', 'meaninglessness': 'False', 'is_smoking': 'True', 'is_splice': 'False', 'call_time': '2021/06/06 15:44:47', 'total_inference_time': '13.28', 'success': 0, 'meaningless_inference_time': '1.78', 'smoking_inference_time': '8.81', 'splice_inference_time': '2.57'}
